Unnamed: 0,名称,评分,地址,评论精选,评论数,热点
113,大圩古镇4A,4.2,广西壮族自治区桂林市灵川县万寿路,'1、大圩古镇，我只能用一个词来形容：“震撼”，我摸着腐朽的古木，走着早已光滑的石砖，看着历史悠久的古城，似与古人同步，见过太多的古城，我甚至觉得我之前去的不是古城，而是打着“古城”名号的商业街，我认为真正的古城应该是质朴的民风，切实做到古城与文化相融合，少一点商业化。固然，商业化减少，当地人民收入也会减少，可我认为，过多的商业化会使古城原有的韵味丧失，为保护这种文化，应做到商业化与古城相对平衡的状态。而恰恰这点，大圩古镇做的十分好，有相当浓厚的古城文化，在不打破原有生活的基础下，确确实实地将古城与人民的生活融为一体，建议来感受一下这种慢生活，远离喧嚣的城市。',237.0,6.2
114,永宁广场,,广西壮族自治区桂林市灵川县青云巷5号,,20.0,
115,灵川县江头古民居博物馆,,灵北路15号,'1、桂林市灵川县九屋镇江头村是年代久远、拥有文化积淀深厚的古村落。已有800多年建村历史的灵川县九屋镇江头村，现有180余座620多间砖瓦结构民居，其中60%以上属明清时代建筑。',1.0,1.8
116,木龙塔,4.4,桂林市叠彩区东镇路10号木龙湖景区内,'1、还行i：：：：：：：：：：：：：：：：：',32.0,3.1
117,凤凰·山水尚境旅居度假区,,广西壮族自治区桂林市阳朔县山水大道和览胜路交汇处,,20.0,
118,府前巷,4.0,广西壮族自治区桂林市阳朔县,'1、府前巷位于阳朔老县城内，曾是当地古县衙所在地，与美丽的漓江相距不远，环境清幽，徐悲鸿故居、孙中山纪念堂等景点都在这里，免费开放。',100.0,2.2
119,磨盘山旅游码头,,桂林市灵川县桂磨路尽头,'1、20230314下午：1、“磨盘山码头”位于5A景区“漓江”。漓江是桂林地标式山水风景名胜，桂林山水的精华，是1999年版20元人民币背景和《刘三姐》等著名电影电视剧的拍摄地，其“百里画廊 ”般的喀斯特地貌是世界自然文化遗产，是桂林旅游必打卡的景区，历史上留有孙中山、叶剑英、徐悲鸿、克林顿与其夫人希拉里等名人的足迹。漓江属于珠江水系，已开发的100公里区域北起桂林市区解放桥附近，南到阳朔县，另有一段位于北端的灵渠与湘江交界处，占漓江总长214公里的将近一半。①地址：桂林市阳朔县兴坪古镇。②交通：公交直达，开车很好停。③旺季：无。\t④用时：5小时。2、从桂林游船码头到阳朔的漓江段全长约60公里，单程4.5小时，单向无往返，所以要从阳朔乘车回桂林，或是自由行的话将漓江作为桂林市区的最后一站，阳朔结束后直接北上去其它县市逛。出发的码头有两个：“磨盘山码头”（三星级游船）和“竹江码头”（四星级游船）。',2.0,4.7
120,银水侗寨,4.1,桂林市龙胜县勒黄小三峡,'1、银水侗寨在桂林市龙胜县城西1.5公里的勒黄小三峡之中，与6400千瓦的勒黄水电站库区铧嘴相连，总面积3000平方米，建筑面积米，是个集桥、亭、廊三位一体的独具风格的风雨桥，四方层檐飞角瓦顶塔形鼓楼的侗族少数民族民俗村寨。',14.0,2.9
121,桂林园博园,3.6,桂林市雁山镇,'1、花得超值，随便一拍就很宏伟，而且还有露营场地',30.0,3.5
122,小平乐村,,桂林市灵川县,1,22.0,
123,永福温泉,4.0,桂林市永福县罗锦镇金钟山旅游度假区,'1、体验感很棒！水温很高，池小，干净，泡得很舒服。外面的景色还不错，有吃有住。老温泉了…里面环境就不能跟现在新做的温泉比较…但是…水非常棒！纯天然！就是……你们能不能开业正常一点？？想去一次…老是要左等右等，等你们心情好才开门…',64.0,3.7
124,唐氏庄园,,广西壮族自治区桂林市雁山区乐园路,,24.0,
126,遇龙河天下遇龙汉服威亚,,桂林市阳朔县遇龙河景区骥马码头,'1、景区直接买票120一个人，带汉服服装，性价比超级高 今天头发不想弄，就没拍照，下次全套过来拍cos，效果可以想象！下次再来！！！！',4.0,3.2
127,隘门界隧道,,广西壮族自治区桂林市资源县,7,25.0,
128,还珠洞,4.6,桂林市叠彩区凤北路1号,'1、還珠洞是伏波山景區裏面的一個景點，不單獨售票。伏波山跟疊彩山相距不遠，一公里左右，因此常常用疊彩伏波景區的聯票方式售票。伏波山本身票價是22元，網絡預購會比較便宜。伏波山景區不大，主要分為伏波山跟千佛岩兩大景點。公主鐘、萬鍋井、將軍劍都是瞬間拍照結束的景點。伏波山本身不高，幾部路就可以登頂，登頂可以清楚俯瞰王城景區跟東西巷，遠眺對面的疊彩山。還珠洞就是伏波山的山腹的洞，跟千佛岩相連，千佛岩很好玩，上上下下的樓梯，刻在岩壁上的佛像以及文字，充滿藝術的趣味性。可以在沿江的木製走廊欣賞還珠洞與江水的寧靜，以及伏波山的秀麗，以及江水的寧靜。伏波山不大對我而已是一個很放鬆很平靜的地方。',16.0,2.5
130,独山,4.0,桂林市阳朔县雁山镇,'1、很棒的景点，桂林旅游打卡景点。',2.0,4.0
131,骝马山摩崖造像,4.4,广西壮族自治区桂林市秀峰区骝马山北巷31号,'1、这些磨牙造像就是在大马路边上的。。。。。。。',12.0,1.8
132,资源丹霞国家地质公园,4.7,广西壮族自治区桂林市资源县资源镇桂林资江景区资江丹霞旅游码头,'1、丹霞地貌人都特别受到旅行者的喜爱。特别是西北的丹霞地貌更是吸引了很多人。在南方也有几处很有名的丹霞地貌。你总资源的八角寨就是其中一个非常典型的。非常漂亮的丹霞地貌。',11.0,6.1
133,凉水井清泉度假村,4.0,桂林市阳朔县白沙镇凉水井村1号,'1、景致非常美的度假村、坐落于山水间、虽不大、但空气很好、水质好、还可去体验采摘的喜悦。',1.0,
134,灵川星月岛度假村,,灵川青狮潭镇,'1、星月岛度假村风光怡人，数座山坡山头露出水面，远远望去，如座座小岛，宛如走进千岛湖一般，这里水面平静，浩淼烟波，常常有人在此拍婚纱摄影。',1.0,
135,桂林乐满地高尔夫球场,4.7,桂林市兴安县志玲路桂林乐满地主题公园南侧约150米,'1、朋友刚刚去了这个高球场打了一场球，然后跟我们说，这个球场非常漂亮，以后有机会他还会再去。',4.0,3.0
136,妙在山野(遇龙河千古情店),,广西壮族自治区桂林市阳朔县阳朔镇铁岭村91号,,43.0,
137,龙怀景区,,广西桂林市荔浦市龙怀景区,,15.0,
138,龙胜森林公园,4.3,广西壮族自治区桂林市龙胜各族自治县桂林龙胜温泉旅游度假区(144县道西),'1、春天里白天睡意浓浓，夜晚反而容易失眠。这个时候，通过温泉水的温热作用，可以加快血液循环，振奋人的精神。泡温泉是一项非常消耗体力的活动，泡完睡眠如期而至，很快能进入深度睡眠。',9.0,2.6
139,西塘自然风景区,,广西壮族自治区桂林市阳朔县兴坪镇S202,,2.0,
140,香草森林,,桂林市阳朔县阳朔镇矮山门村,3,36.0,
141,桂林西山景区4A,4.3,桂林市秀峰区西山路2号,'1、导游组织很好，团队行动较为一致。酒店比较满意。',375.0,5.2
142,天主堂,4.4,桂林市秀峰区解放东路48号,'1、教堂所处的可谓是黄金位置，就在主干道解放东路上，正阳路步行街北口对面，靖江王城前西侧。然而与周边熙熙攘攘的人流相比，这里确实是很清静，我们不是礼拜日来，大门紧锁。然而教堂是新建的建筑，仅作为宗教场所，没有太多的艺术风韵了。教堂与马路之间还有个小花园，从外面透过花丛窥视还挺有神秘感的。花园中的石桌石凳已被损坏，希望能尽快修好。',21.0,2.3
143,桂林酷客部落,,桂林市叠彩区花卉基地花卉大道21号,,2.9,
144,广西极汉赛车场,,广西壮族自治区桂林市临桂区万福路南村山水绿城对面,,187.0,
145,九马画山,4.4,桂林市阳朔县兴坪镇漓江边,'1、九马画山是桂林漓江著名的景观之一。临江而立，石壁如削，远望如一幅巨大的画屏，山石削壁屏立，高、阔各一百多米。石壁上赭、黄、绿、白，五彩斑斓，浓淡相间，班驳有致，宛若巨幅壁画，因而叫画山。',445.0,6.6
146,梦幻水世界,4.0,桂林市兴安县志玲路桂林乐满地度假世界梦幻世界区内,'1、第二天中午12点过来的，但是等了很久，居然都还没有东西玩，觉得真的是比较的失望，而且这边真的不太守时啊，等到12点半都还没有东西玩，只能够回去退房了。',2.0,2.3
147,罗山湖四季温泉小镇,4.4,广西壮族自治区桂林市临桂区两江大道1009号,'1、这次去没有住，早上和妈妈一起带着娃从家出发直接杀到温泉小镇门口，取了票就进去了，服务员小姑娘很好，还帮我把宝宝推车抬下楼了。几个池子都去玩了会，因为娃太小了，游乐设施没有玩，但温泉很好，妈妈和宝宝都很开心，我妈还说以后每个月至少来一次。嗯，离上次来正好一个月。',217.0,3.0
148,龙胜各族自治县龙脊镇大寨村,,桂林市龙胜各族自治县龙脊镇下辖村,,3.0,
149,归义县旧址,,桂林市阳朔县旧县村113号(近遇龙河旧县码头),,1.0,
150,星际传奇(华润万象城店),,广西壮族自治区桂林市秀峰区红岭路1号华润万象城F3,,2.0,
151,螃蟹沟,4.0,广西壮族自治区桂林市龙胜各族自治县江底乡矮岭温泉景区内,'1、【景色】【趣味】【性价比】不错',9.0,2.9
152,滨江景区,,滨江路滨江景区,,,
155,滨江路滨水生态广场,,广西壮族自治区桂林市秀峰区王府花园(桂林两江四湖景区东),,2.0,
156,徐悲鸿故居,4.3,桂林市阳朔县县前街17号,'1、徐悲鸿故居是外围白粉墙、小青瓦，还有略带黄颜色的檐口，其门楼下面悬有吴作人先生手书的“徐悲鸿故居陈列馆”之牌匾，一边还镶嵌着“徐悲鸿故居”之大理石碑刻。房屋为砖木结构，三进堂小屋，院内有一高大玉兰树，花香四溢。陈列馆里主要展示了徐悲鸿先生在此生活的实情实景，同时又有反映徐悲鸿先生一生经历的图片等等。徐悲鸿的《漓江烟雨》、《青厄渡》等名画都是在此创作而成。',84.0,4.5
157,临桂区图书馆,,人民路154号,,1.0,
159,七星追月观景点,,桂林市龙胜各族自治县龙脊梯田金坑大寨景区内,'1、龙脊梯田最大的就是金坑梯田分为三个观景台，第二观景台的一个景点就是七星追月，还是比较神似的，总体来说很不错，风景很漂亮，值得去看看',2.0,2.8
160,磨盘水库,,广西壮族自治区桂林市全州县,,1.0,
161,地球记忆·陨石奇观博物馆,4.0,广西桂林市荔浦马岭镇永明村（银子岩景区内）,'1、导师热情讲解，解说。',6.0,4.3
164,阳朔公园,4.0,广西壮族自治区桂林市阳朔县叠翠路36号,'1、绿化环境很好非常喜欢，很满意的景点',246.0,5.8
165,海洋银杏,4.3,桂林市灵川县113县道附近,'1、2020年12月6日周日和朋友自行坐车到桂林灵川县海洋乡大桐木湾村银杏景区，从桂林市区坐城乡公交306至大圩镇，转乡村小巴士至海洋乡墟市，之后步行一公里左右到大桐木湾村银杏景区，进村门票20元，之后随便在村里溜达观赏银杏。',65.0,3.7
166,红军岩,4.3,广西壮族自治区桂林市龙胜各族自治县红瑶寨(白面瑶寨景区西200米),'1、红军岩位于广西壮族自治区凤山县城南郊的凤城镇恒里村皓坡山上，距恒里村3公里，目前从村级公路有一条牛道通到洞口，约2.5公里，该岩由主洞和多个侧洞相连构成，主洞形长方状，洞口高12米，宽30米，深50米，主洞背面有一个较大的侧洞，面积15平方米，洞内现存纪念碑、红军使用的作战用器、战壕、城墙、红军战士遗骸（干尸）等，红军岩还有部分文物保存在民间和百色起义纪念馆，红军岩是留守东凤根据地的红七军反围剿斗争中，坚守时间最长、战斗最悲惨、牺牲的红军战士和革命群众最多的一个据点。',74.0,1.9
168,古桂排运河,,广西壮族自治区临桂县会仙乡,,12.0,
